# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	255118
#@/user_id	3eb7fba5-02d4-4760-8547-f0decde08619
a 	啊	c=777 d=1.71343 t=255118
ai lun 	艾倫	c=0 d=6.77265e-35 t=255118
ai lun en 	艾倫恩	c=1 d=6.8066e-34 t=255118
ai ni 	愛你	c=1 d=5.67182e-07 t=255118
ai qing 	愛情	c=5 d=1.47087e-10 t=255118
ai ren 	愛人	c=0 d=3.53503e-33 t=255118
ai ren 	矮人	c=1 d=2.2959e-72 t=255118
ai sa la 	艾薩拉	c=1 d=7.63639e-05 t=255118
ai sen hao wei er 	艾森豪威爾	c=1 d=0.00990218 t=255118
ai shang 	愛上	c=2 d=3.43381e-06 t=255118
ai shang fa sheng fa 	愛上發生法	c=1 d=1.24257e-55 t=255118
ai shi 	愛是	c=0 d=7.49641e-53 t=255118
ai shi fou 	愛是否	c=1 d=0.951229 t=255118
ai si 	愛思	c=1 d=1.8635e-117 t=255118
ai si kao 	愛思考	c=2 d=8.4876e-13 t=255118
ai su lei ge 	埃蘇雷格	c=1 d=9.56323e-05 t=255118
ai wang hai zi 	愛網孩子	c=1 d=1.2121e-57 t=255118
ai wu 	愛物	c=0 d=0.000790705 t=255118
ai ya 	哎呀	c=2 d=0.000668817 t=255118
ai ze 	愛則	c=1 d=1.20093e-07 t=255118
ai ze la si 	艾澤拉斯	c=28 d=0.176058 t=255118
ai ze la si zhi xin 	艾澤拉斯之心	c=1 d=0.00778933 t=255118
ai zhe 	挨着	c=2 d=6.07492e-93 t=255118
ai zi 	愛子	c=0 d=0.00031354 t=255118
ai zou 	捱揍	c=2 d=2.93889e-65 t=255118
an 	俺	c=3 d=2.84485e-06 t=255118
an 	安	c=6 d=0.00178634 t=255118
an 	岸	c=5 d=0.00486835 t=255118
an 	按	c=14 d=0.321422 t=255118
an 	暗	c=1 d=1.89674e-31 t=255118
an 	案	c=6 d=0.045612 t=255118
an bao 	安保	c=0 d=1.33702e-65 t=255118
an bi 	案比	c=2 d=7.47579e-49 t=255118
an bu 	暗部	c=0 d=0.1 t=242703
an dao 	按到	c=1 d=1 t=246054
an dao 	暗道	c=1 d=2.73423e-10 t=255118
an dao li 	按道理	c=25 d=0.268574 t=255118
an fei 	安非	c=0 d=7.89982e-52 t=255118
an hei 	暗黑	c=7 d=0.000108909 t=255118
an jia 	安家	c=0 d=2.16213e-102 t=255118
an jian 	安檢	c=1 d=1.65097e-16 t=255118
an jian 	按鍵	c=6 d=0.00069264 t=255118
an jing 	安靜	c=0 d=0.0111359 t=255118
an li 	安利	c=3 d=1.72039e-30 t=255118
an li 	案例	c=5 d=1.28533e-20 t=255118
an men 	俺們	c=0 d=0.00199405 t=255118
an mo 	按摩	c=0 d=4.71036e-57 t=255118
an mo ne 	按摩呢	c=1 d=4.73397e-56 t=255118
an ning zhao gu 	安寧照顧	c=1 d=1.33248e-24 t=255118
an niu 	按鈕	c=87 d=0.501576 t=255118
an niu niu 	按鈕牛	c=1 d=0.00196437 t=255118
an pai 	安排	c=38 d=0.377192 t=255118
an pai ne ge 	安排呢個	c=3 d=2.61436e-12 t=255118
an pai shang 	安排上	c=1 d=3.64777e-19 t=255118
an pai xia 	安排下	c=1 d=5.97685e-34 t=255118
an pian 	按片	c=1 d=4.00354e-55 t=255118
an qu 	暗渠	c=0 d=0.1 t=233642
an qu a 	暗渠啊	c=1 d=1 t=233643
an quan 	安全	c=23 d=0.154124 t=255118
an quan an 	安全案	c=1 d=0.458406 t=255118
an quan ji zhi 	安全機制	c=1 d=1 t=241446
an quan ling 	安全令	c=1 d=2.66672e-10 t=255118
an quan xing 	安全性	c=3 d=4.24546e-10 t=255118
an se 	安塞	c=1 d=9.86758e-50 t=255118
an sha 	暗殺	c=1 d=3.18549e-13 t=255118
an sheng 	安生	c=1 d=7.50128e-89 t=255118
an shi 	按時	c=2 d=0.00032718 t=255118
an ting 	按聽	c=1 d=1.44386e-86 t=255118
an tuo 	安妥	c=0 d=1.99196e-20 t=255118
an tuo lan 	安妥藍	c=1 d=2.00194e-19 t=255118
an xia 	按下	c=2 d=0.0280154 t=255118
an xia qu 	按下去	c=1 d=0.000696112 t=255118
an xin 	安心	c=2 d=3.19645e-24 t=255118
an xu 	按需	c=3 d=1.67301e-25 t=255118
an ya 	按壓	c=1 d=8.21549e-12 t=255118
an ye 	暗夜	c=1 d=5.10909e-13 t=255118
an ye jing ling 	暗夜精靈	c=3 d=5.1347e-12 t=255118
an ye yao sai 	暗夜要塞	c=1 d=1 t=232346
an ying 	暗影	c=3 d=0.0114473 t=255118
an ying guo du 	暗影國度	c=4 d=0.000169951 t=255118
an ying jie 	暗影界	c=1 d=1.14926e-19 t=255118
an ying lie kou 	暗影裂口	c=1 d=1.9769e-18 t=255118
an zhang 	案長	c=2 d=1.13099e-07 t=255118
an zhao 	按照	c=150 d=0.348234 t=255118
an zhao ji 	按照及	c=1 d=1.60468e-05 t=255118
an zhao li 	按照裏	c=1 d=4.49162e-26 t=255118
an zhao miao kai 	按照秒開	c=1 d=4.53676e-26 t=255118
an zhao ni 	按照你	c=3 d=1.12554e-09 t=255118
an zhao zhe ge 	按照這個	c=1 d=3.24511e-84 t=255118
an zhu 	按住	c=4 d=4.94361e-07 t=255118
an zhuan 	暗轉	c=1 d=1.1272e-85 t=255118
an zhuang 	安裝	c=123 d=0.66034 t=255118
an zhuang bao 	安裝包	c=2 d=4.08816e-07 t=255118
an zhuang dao 	安裝到	c=1 d=1.81236e-25 t=255118
an zhuang ku 	安裝庫	c=1 d=1.23831e-44 t=255118
an zhuang le 	安裝了	c=2 d=3.41414e-05 t=255118
an zhuang yi ge 	安裝一個	c=1 d=1.66343e-75 t=255118
an zhuo 	安卓	c=2 d=1.48432 t=244601
an zuo 	安坐	c=1 d=1.06618e-48 t=255118
an zuo 	鞍座	c=1 d=2.07318e-48 t=255118
ang 	昂	c=3 d=0.000314351 t=255118
ang jue 	昂絕	c=1 d=4.92717e-56 t=255118
ang ku 	昂庫	c=1 d=3.02015e-33 t=255118
ao 	傲	c=1 d=1 t=231072
ao 	奧	c=5 d=0.067368 t=255118
ao 	熬	c=1 d=1 t=245097
ao ang 	奧昂	c=1 d=4.12196e-45 t=255118
ao chu tou 	熬出頭	c=1 d=9.75184e-117 t=255118
ao dan mu 	奧丹姆	c=2 d=1.66156e-54 t=255118
ao dao 	熬到	c=1 d=1.00792e-34 t=255118
ao di 	奧迪	c=0 d=8.52261e-33 t=255118
ao di er 	奧迪爾	c=2 d=4.84489e-05 t=255118
ao ding 	奧丁	c=1 d=2.60939e-19 t=255118
ao ge 	奧格	c=3 d=2.88883e-11 t=255118
ao ge rui ma 	奧格瑞嗎	c=3 d=3.33636e-18 t=255118
ao ge rui mu 	奧格瑞姆	c=1 d=2.90331e-10 t=255118
ao li 	奧利	c=2 d=3.83194e-70 t=255118
ao li bo si 	奧利波斯	c=9 d=0.010889 t=255118
ao li ka 	奧利卡	c=1 d=1.55923e-108 t=255118
ao mi 	奧祕	c=1 d=2.82335e-05 t=255118
ao shu 	奧數	c=0 d=3.32736e-56 t=255118
ao shu shi 	奧數師	c=2 d=1.59831e-17 t=255118
ao you 	遨遊	c=2 d=1.02237 t=250924
ba 	八	c=3 d=6.14735e-12 t=255118
ba 	吧	c=1678 d=2.71469 t=255118
ba 	把	c=466 d=1.01548 t=255118
ba 	拔	c=1 d=7.84521e-87 t=255118
ba 	爸	c=5 d=0.154896 t=255118
ba ba 	爸爸	c=2 d=0.349938 t=255118
ba ba 	粑粑	c=1 d=3.40163e-50 t=255118
ba ba ni 	爸爸你	c=6 d=1.43109e-11 t=255118
ba bai ban 	八佰伴	c=1 d=6.77287e-05 t=255118
ba diao 	拔掉	c=1 d=1.61487e-50 t=255118
ba gong 	罷工	c=2 d=5.16131e-14 t=255118
ba gong li 	把公里	c=1 d=5.13557e-14 t=255118
ba guan 	把關	c=7 d=0.00733572 t=255118
ba ma 	爸媽	c=3 d=1.83724e-09 t=255118
ba ni 	把你	c=1 d=1.33493e-75 t=255118
ba se niao 	八色鳥	c=0 d=4.70716e-49 t=255118
ba se niao ba 	八色鳥吧	c=1 d=4.73075e-48 t=255118
ba shang 	八上	c=1 d=6.83025e-16 t=255118
ba shang 	壩上	c=2 d=1.34235e-15 t=255118
ba tou chou 	拔頭籌	c=0 d=1.39842e-05 t=255118
ba xian 	八仙	c=1 d=1.76695e-50 t=255118
ba xian 	拔線	c=1 d=1.77581e-50 t=255118
ba xin 	靶心	c=2 d=0.0281748 t=255118
ba xin ren 	靶心人	c=2 d=7.1274e-68 t=255118
ba zhu 	把住	c=0 d=7.41425e-41 t=255118
ba zhu 	霸主	c=1 d=1 t=233041
ba zhu guan 	把住關	c=1 d=7.45141e-40 t=255118
ba zi 	八字	c=0 d=8.52724e-10 t=255118
ba zi 	垻子	c=2 d=2.99224e-12 t=255118
ba zi 	把子	c=0 d=8.56998e-10 t=255118
ba zi 	靶子	c=2 d=0.0127784 t=255118
bai 	掰	c=2 d=0.0133665 t=255118
bai 	柏	c=1 d=2.0074e-51 t=255118
bai 	白	c=9 d=0.398519 t=255118
bai 	百	c=3 d=0.0769192 t=255118
bai di 	白底	c=2 d=5.22701e-61 t=255118
bai du 	百度	c=35 d=0.913931 t=255118
bai du bu qin 	百毒不侵	c=1 d=0.0459593 t=255118
bai e 	白堊	c=1 d=1.45515e-60 t=255118
bai fei dai xing 	百廢待興	c=1 d=0.00065886 t=255118
bai fen bi 	百分比	c=2 d=1.089e-74 t=255118
bai guo lai 	白過來	c=1 d=1.08476e-16 t=255118
bai ju guo xi 	白駒過隙	c=1 d=2.01157e-46 t=255118
bai ke 	百科	c=1 d=1.35216e-20 t=255118
bai ke ji 	白科技	c=1 d=7.87004e-36 t=255118
bai lai 	白來	c=1 d=1.97489e-06 t=255118
bai lin 	柏霖	c=1 d=3.30918e-20 t=255118
bai mao nv 	白毛女	c=0 d=1.56911e-07 t=255118
bai mao nv gu dan 	白毛女孤單	c=1 d=1.57698e-06 t=255118
bai miao 	白廟	c=1 d=5.9053e-10 t=255118
bai ming 	百名	c=1 d=5.90593e-70 t=255118
bai ming an dian nao 	白命案電腦	c=1 d=4.27924e-15 t=255118
bai ming dan 	白名單	c=64 d=5.19951e-05 t=255118
bai ming dan na 	白名單那	c=2 d=1.23658e-57 t=255118
bai ming dan ni 	白名單你	c=1 d=5.64605e-70 t=255118
bai ping 	白屏	c=39 d=4.5133e-06 t=255118
bai ri 	白日	c=0 d=9.83541e-42 t=255118
bai ri de ge 	白日的個	c=1 d=9.88471e-41 t=255118
bai se 	白色	c=18 d=0.0682212 t=255118
bai shi 	百十	c=0 d=1.88375e-10 t=255118
bai shi lai 	百十來	c=1 d=1.89319e-09 t=255118
bai ti a 	百題啊	c=3 d=2.78304e-34 t=255118
bai tian 	白天	c=11 d=0.000706632 t=255118
bai tu 	白兔	c=1 d=6.2722e-72 t=255118
bai tuo 	擺脫	c=2 d=0.0569831 t=255118
bai wan 	白玩	c=1 d=8.98277e-33 t=255118
bai wan 	百萬	c=2 d=9.97928e-06 t=255118
bai wan ying bang 	百萬英鎊	c=1 d=4.49238e-28 t=255118
bai zhuo zi 	白桌子	c=1 d=1 t=249895
ban 	伴	c=2 d=1.88375e-09 t=255118
ban 	半	c=15 d=0.0904846 t=255118
ban 	搬	c=3 d=0.0507928 t=255118
ban 	版	c=27 d=0.924945 t=255118
ban 	般	c=1 d=2.90016e-56 t=255118
ban 	辦	c=12 d=0.369723 t=255118
ban ban ben 	半版本	c=1 d=0.909373 t=255118
ban ben 	版本	c=531 d=1.74187 t=255118
ban ben hao 	版本號	c=5 d=0.628135 t=255118
ban bu dao 	辦不到	c=2 d=7.93562e-16 t=255118
ban deng 	板凳	c=1 d=3.332e-42 t=255118
ban ding 	頒訂	c=1 d=9.13902e-30 t=255118
ban dong 	搬動	c=1 d=1 t=249934
ban fa 	辦法	c=82 d=0.759572 t=255118
ban fa le 	辦法了	c=1 d=1.26555e-06 t=255118
ban fa ma 	辦法嗎	c=1 d=1.04493e-17 t=255118
ban fan 	拌飯	c=1 d=1.29689e-30 t=255118
ban ge 	半個	c=1 d=4.14403e-49 t=255118
ban ge xiao shi 	半個小時	c=1 d=6.64215e-11 t=255118
ban ge yue 	半個月	c=7 d=0.110803 t=255118
ban gong 	辦公	c=50 d=0.109701 t=255118
ban gong de 	辦公的	c=1 d=2.33718e-17 t=255118
ban gong shi 	辦公室	c=2 d=0.0987662 t=255118
ban hui 	半會	c=2 d=1.53407e-05 t=255118
ban ji 	班級	c=1 d=3.8756e-114 t=255118
ban jing 	半徑	c=1 d=2.10266e-67 t=255118
ban ke 	班課	c=2 d=3.21691e-22 t=255118
ban kuai 	板塊	c=2 d=1.06353e-40 t=255118
ban li 	板栗	c=1 d=8.53741e-23 t=255118
ban li 	辦理	c=27 d=0.000699601 t=255118
ban nian 	半年	c=4 d=0.00307561 t=255118
ban nian duo 	半年多	c=1 d=0.0308074 t=255118
ban ping 	半屏	c=6 d=0.0253494 t=255118
ban ping 	扳平	c=2 d=1.45547e-62 t=255118
ban quan 	版權	c=1 d=3.42298e-07 t=255118
ban shou dong 	半手動	c=2 d=1.52542e-29 t=255118
ban sui 	伴隨	c=1 d=1.82672e-59 t=255118
ban ti a 	半提啊	c=1 d=5.262e-06 t=255118
ban tian 	半天	c=23 d=0.778801 t=255118
ban tou ming 	半透明	c=1 d=1.97913e-90 t=255118
ban xiao shi 	半小時	c=5 d=0.000696112 t=255118
ban xue 	半血	c=1 d=3.86387e-49 t=255118
ban yue 	半月	c=2 d=8.8967e-08 t=255118
ban zhu 	版主	c=2 d=1.68522e-11 t=255118
ban zhu ren 	班主任	c=1 d=0.00147367 t=255118
ban zhuan 	搬磚	c=1 d=1 t=232467
bang 	幫	c=37 d=0.337902 t=255118
bang 	棒	c=20 d=0.0118439 t=255118
bang 	邦	c=1 d=3.93803e-08 t=255118
bang bang 	幫幫	c=1 d=1.41026e-15 t=255118
bang bang 	棒棒	c=1 d=1.41733e-15 t=255118
bang bu liao 	幫不了	c=1 d=7.89284e-70 t=255118
bang bu liao ni 	幫不了你	c=1 d=0.156453 t=255118
bang ding 	綁定	c=14 d=0.000151489 t=255118
bang ding hou 	綁定後	c=1 d=2.35796e-121 t=255118
bang duo 	邦多	c=1 d=3.97761e-08 t=255118
bang man 	幫滿	c=1 d=9.5561e-55 t=255118
bang mang 	幫忙	c=53 d=0.264477 t=255118
bang na mei ge ni 	幫那每個你	c=1 d=8.32776e-54 t=255118
bang ni 	幫你	c=6 d=0.965634 t=255118
bang shang 	幫上	c=1 d=3.65535e-14 t=255118
bang shang sha 	幫上啥	c=1 d=8.0679e-34 t=255118
bang wo men 	幫我們	c=3 d=2.17244e-10 t=255118
bang yang 	榜樣	c=1 d=9.20204e-52 t=255118
bang zhu 	幫助	c=30 d=0.729789 t=255118
bao 	保	c=9 d=0.00207861 t=255118
bao 	包	c=201 d=1.69206 t=255118
bao 	堡	c=0 d=0.1 t=244799
bao 	報	c=37 d=0.33454 t=255118
bao 	寶	c=166 d=0.862283 t=255118
bao 	爆	c=1 d=2.10044e-84 t=255118
bao 	豹	c=2 d=1.91674e-31 t=255118
bao an 	保安	c=4 d=1.50007e-06 t=255118
bao bao 	寶寶	c=36 d=0.0226322 t=255118
bao bei 	報備	c=13 d=8.59363e-12 t=255118
bao bei 	寶貝	c=10 d=0.045502 t=255118
bao bu zhun 	保不準	c=2 d=2.92572e-71 t=255118
bao che 	包車	c=1 d=2.72638e-26 t=255118
bao chi 	保持	c=61 d=0.0393625 t=255118
bao chi yuan yang 	保持原樣	c=1 d=3.85902e-93 t=255118
bao chou 	報酬	c=2 d=2.4916e-05 t=255118
bao chu 	報出	c=1 d=2.36799e-24 t=255118
bao chu lai 	抱出來	c=1 d=1.93895e-84 t=255118
bao cou 	包湊	c=1 d=4.39893e-16 t=255118
bao cu 	包粗	c=3 d=2.05793e-20 t=255118
bao cun 	保存	c=95 d=1.51015 t=255118
bao cun dao 	保存到	c=1 d=1.48838e-61 t=255118
bao cuo 	報錯	c=131 d=0.64819 t=255118
bao cuo le 	報錯了	c=1 d=4.69756e-24 t=255118
bao cuo xin xi 	報錯信息	c=1 d=3.43231e-38 t=255118
bao dao 	報道	c=4 d=0.509156 t=255118
bao fa 	爆發	c=3 d=1.03989e-19 t=255118
bao fa chu lai 	爆發出來	c=1 d=1.20835e-50 t=255118
bao feng 	暴風	c=0 d=3.6365e-13 t=255118
bao feng cheng 	暴風城	c=8 d=8.96292e-07 t=255118
bao feng cheng 	暴風成	c=12 d=9.70616e-06 t=255118
bao fu 	包袱	c=0 d=3.86926e-37 t=255118
bao fu 	暴富	c=1 d=1.70594e-19 t=255118
bao gao 	報告	c=15 d=0.00782838 t=255118
bao ge 	報個	c=1 d=3.65212e-33 t=255118
bao gen 	保根	c=3 d=7.78378e-24 t=255118
bao guan 	保管	c=2 d=2.96146e-08 t=255118
bao guang 	曝光	c=16 d=0.133587 t=255118
bao guang liang 	曝光量	c=1 d=2.70271e-50 t=255118
bao gui 	寶貴	c=1 d=1 t=247493
bao guo 	包裹	c=11 d=0.00019258 t=255118
bao ha 	寶哈	c=2 d=1.40791e-17 t=255118
bao han 	包含	c=65 d=0.217621 t=255118
bao han 	包涵	c=1 d=2.58079e-07 t=255118
bao han jin qu 	包含進去	c=1 d=0.000201444 t=255118
bao he 	飽和	c=1 d=2.03642e-14 t=255118
bao hu 	保護	c=5 d=0.0848679 t=255118
bao hu wo men 	保護我們	c=1 d=0.0837432 t=255118
bao hu zha 	保護咋	c=1 d=1.41242e-33 t=255118
bao ji 	寶雞	c=1 d=4.09264e-108 t=255118
bao ji 	暴擊	c=3 d=0.0467126 t=255118
bao jia 	保價	c=2 d=3.21303e-09 t=255118
bao jia hu hang 	保駕護航	c=3 d=0.687289 t=255118
bao jia wei guo 	保家衛國	c=2 d=0.0930772 t=255118
bao jing 	報警	c=4 d=1.09209e-07 t=255118
bao ku 	寶庫	c=4 d=2.94618e-06 t=255118
bao kuo 	包括	c=71 d=0.730001 t=255118
bao lei 	堡壘	c=7 d=8.79231e-11 t=255118
bao lei ji 	堡壘機	c=7 d=7.46936e-10 t=255118
bao li 	包裏	c=3 d=2.37008e-05 t=255118
bao liu 	保留	c=30 d=0.580624 t=255118
bao lu 	暴露	c=41 d=0.594521 t=255118
bao lu jing 	暴露靜	c=1 d=1.84582e-05 t=255118
bao lu zai 	暴露在	c=0 d=0.0298197 t=255118
bao lu zai eh 	暴露在誒	c=1 d=0.299692 t=255118
bao mai 	保賣	c=9 d=0.0898153 t=255118
bao man 	包滿	c=1 d=3.99253e-52 t=255118
bao mi 	保密	c=1 d=3.03168e-19 t=255118
bao ming 	包名	c=6 d=1.40275e-11 t=255118
bao ming 	報名	c=6 d=8.46713e-14 t=255118
bao nu 	暴怒	c=1 d=1.56688e-48 t=255118
bao po 	爆破	c=2 d=7.50829e-60 t=255118
bao pu 	抱朴	c=1 d=3.81945e-60 t=255118
bao qian 	抱歉	c=5 d=2.68566e-05 t=255118
bao qian an 	抱歉案	c=1 d=1.71776e-12 t=255118
bao quan 	保全	c=1 d=6.69115e-68 t=255118
bao quan 	抱拳	c=1 d=6.72469e-68 t=255118
bao rong 	包容	c=1 d=1 t=229580
bao sha 	抱廈	c=0 d=0.1 t=253510
bao sha cuo wu 	抱廈錯誤	c=1 d=1 t=253511
bao shang 	報上	c=1 d=3.99606e-33 t=255118
bao shang lai 	報上來	c=2 d=1.35404e-07 t=255118
bao ti ji 	包體積	c=7 d=0.00278085 t=255118
bao wen 	保溫	c=2 d=3.84771e-40 t=255118
bao wen hu 	保溫戶	c=1 d=5.41176e-42 t=255118
bao xian 	保險	c=14 d=0.299692 t=255118
bao xian dian 	保險點	c=1 d=2.2049e-08 t=255118
bao xiang 	寶箱	c=5 d=3.09635e-49 t=255118
bao xiao 	報銷	c=19 d=0.000363402 t=255118
bao xu o 	寶需哦	c=1 d=3.80453e-14 t=255118
bao xue 	暴雪	c=3 d=0.00615802 t=255118
bao you 	保佑	c=1 d=1.64553e-36 t=255118
bao you xi wang 	報有希望	c=1 d=2.35458e-16 t=255118
bao yu 	暴雨	c=1 d=0.00110269 t=255118
bao yue 	包月	c=1 d=3.88642e-88 t=255118
bao zang 	寶藏	c=1 d=2.97206e-50 t=255118
bao zha 	爆炸	c=5 d=2.43637e-06 t=255118
bao zhang 	保障	c=1 d=1.42958e-28 t=255118
bao zhang 	暴漲	c=1 d=1 t=234527
bao zhen 	抱枕	c=2 d=1.06495e-05 t=255118
bao zheng 	保證	c=35 d=0.254107 t=255118
bao zheng xing 	保證性	c=1 d=6.69386e-14 t=255118
bao zhi 	報紙	c=2 d=8.21129e-06 t=255118
bao zhu 	包住	c=1 d=0.000490542 t=255118
bao zhuang 	包裝	c=3 d=0.000461975 t=255118
bao zhuang dai 	包裝袋	c=1 d=2.681e-14 t=255118
bao zhuang he 	包裝盒	c=1 d=2.7028e-21 t=255118
bao zi 	包子	c=1 d=5.97806e-07 t=255118
bao zi 	豹子	c=8 d=1.34844e-17 t=255118
bao zu 	包租	c=0 d=8.32378e-20 t=255118
bao zu gong 	包租共	c=1 d=8.36551e-19 t=255118
bei 	倍	c=12 d=0.486752 t=255118
bei 	北	c=2 d=0.00285814 t=255118
bei 	唄	c=19 d=0.000911882 t=255118
bei 	背	c=4 d=6.14944e-16 t=255118
bei 	被	c=191 d=0.100514 t=255118
bei 	貝	c=0 d=1.79713e-10 t=255118
bei an 	備案	c=31 d=0.0175975 t=255118
bei an hao 	備案號	c=1 d=3.78877e-24 t=255118
bei an hou 	備案後	c=1 d=3.39711e-05 t=255118
bei bao 	背包	c=5 d=4.8624e-07 t=255118
bei bei 	北北	c=5 d=0.108609 t=255118
bei ce 	北側	c=1 d=1.06108e-21 t=255118
bei ci 	背刺	c=2 d=0.0926107 t=255118
bei dai 	背帶	c=1 d=6.19099e-07 t=255118
bei di 	貝蒂	c=1 d=6.41261e-09 t=255118
bei dong 	被動	c=1 d=9.84242e-21 t=255118
bei dong zhu 	被動住	c=1 d=9.89176e-20 t=255118
bei fen 	備份	c=4 d=0.501576 t=255118
bei feng 	北風	c=1 d=1.2088e-25 t=255118
bei feng 	被封	c=1 d=3.33211e-13 t=255118
bei feng le 	被封了	c=1 d=4.87534e-108 t=255118
bei ge li 	被隔離	c=1 d=2.39905e-89 t=255118
bei guo 	北國	c=1 d=2.50708e-19 t=255118
bei hai 	北海	c=3 d=1.03098e-06 t=255118
bei hou 	背後	c=16 d=0.021068 t=255118
bei ji xiong 	北極熊	c=2 d=0.000101546 t=255118
bei jin 	被禁	c=4 d=6.46295e-05 t=255118
bei jing 	北京	c=182 d=1.46597 t=255118
bei jing 	背景	c=55 d=0.106992 t=255118
bei jing ce 	北京側	c=1 d=6.98129e-38 t=255118
bei jing chao yang 	北京朝陽	c=1 d=1.60158e-41 t=255118
bei jing he 	北京和	c=1 d=5.78307e-58 t=255118
bei jing na ge 	北京那個	c=1 d=1.8963e-87 t=255118
bei jing nan 	北京南	c=2 d=5.76833e-28 t=255118
bei jing se 	背景色	c=3 d=6.41479e-13 t=255118
bei jing shi 	北京市	c=1 d=5.28533e-58 t=255118
bei jing tong 	北京通	c=1 d=5.62896e-05 t=255118
bei jing tong qin 	北京通勤	c=1 d=3.32963e-63 t=255118
bei jing xiong 	北京熊	c=2 d=0.000185029 t=255118
bei jing yi qing 	北京疫情	c=1 d=1 t=230494
bei ju 	悲劇	c=1 d=2.27715e-05 t=255118
bei ju 	被拒	c=5 d=0.000624117 t=255118
bei keng 	被坑	c=1 d=0.0561348 t=255118
bei li 	貝利	c=0 d=3.14331e-63 t=255118
bei mei 	北美	c=3 d=7.77661e-64 t=255118
bei mian 	背面	c=2 d=1.85642 t=248400
bei ni 	被你	c=1 d=2.75534e-71 t=255118
bei ni men 	被你們	c=1 d=1 t=244841
bei nve 	被虐	c=1 d=1 t=228384
bei qing 	被清	c=1 d=4.91963e-38 t=255118
bei ren 	被人	c=4 d=0.298197 t=255118
bei sai er 	貝塞爾	c=5 d=1.9926e-09 t=255118
bei sai er qu xian 	貝塞爾曲線	c=1 d=8.42203e-10 t=255118
